Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,479489,-,-,-,39.93,-105.18,0,1732,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2009,1,1,0,30,0,0,0.7000000000000001
2009,1,1,1,30,0,0,0.1
2009,1,1,2,30,0,0,0.1
2009,1,1,3,30,0,0,0.4
2009,1,1,4,30,0,0,0.6000000000000001
2009,1,1,5,30,0,0,1
2009,1,1,6,30,0,0,1
2009,1,1,7,30,0,0,0.6000000000000001
2009,1,1,8,30,0,0,0.4
2009,1,1,9,30,0,0,0.4
2009,1,1,10,30,0,0,0.30000000000000004
2009,1,1,11,30,0,0,0.1
2009,1,1,12,30,0,0,0
2009,1,1,13,30,0,0,-0.1
2009,1,1,14,30,0,0,0.6000000000000001
2009,1,1,15,30,85,37,2.5
2009,1,1,16,30,138,31,4.5
2009,1,1,17,30,209,117,6.2
2009,1,1,18,30,232,227,7.300000000000001
2009,1,1,19,30,230,255,7.800000000000001
2009,1,1,20,30,197,311,7.5
2009,1,1,21,30,169,101,6.1000000000000005
2009,1,1,22,30,97,6,3.9000000000000004
2009,1,1,23,30,15,1,2.1
2009,1,2,0,30,0,0,1.5
2009,1,2,1,30,0,0,1.3
2009,1,2,2,30,0,0,1.3
2009,1,2,3,30,0,0,1.4000000000000001
2009,1,2,4,30,0,0,1.4000000000000001
2009,1,2,5,30,0,0,1.3
2009,1,2,6,30,0,0,1.2000000000000002
2009,1,2,7,30,0,0,1.3
2009,1,2,8,30,0,0,1.4000000000000001
2009,1,2,9,30,0,0,1.4000000000000001
2009,1,2,10,30,0,0,1.4000000000000001
2009,1,2,11,30,0,0,1
2009,1,2,12,30,0,0,0.4
2009,1,2,13,30,0,0,0.1
2009,1,2,14,30,0,0,1.7000000000000002
2009,1,2,15,30,93,55,4.800000000000001
2009,1,2,16,30,181,47,7.6000000000000005
2009,1,2,17,30,246,93,10
2009,1,2,18,30,265,215,11.600000000000001
2009,1,2,19,30,197,566,12.4
2009,1,2,20,30,177,560,12.100000000000001
2009,1,2,21,30,137,557,10.700000000000001
2009,1,2,22,30,90,297,7.9
2009,1,2,23,30,13,393,4.9
2009,1,3,0,30,0,0,3.2
2009,1,3,1,30,0,0,2
2009,1,3,2,30,0,0,1.1
2009,1,3,3,30,0,0,0.6000000000000001
2009,1,3,4,30,0,0,0.4
2009,1,3,5,30,0,0,0.1
2009,1,3,6,30,0,0,-0.30000000000000004
2009,1,3,7,30,0,0,-0.5
2009,1,3,8,30,0,0,-0.7000000000000001
2009,1,3,9,30,0,0,-1
2009,1,3,10,30,0,0,-1
2009,1,3,11,30,0,0,-0.7000000000000001
2009,1,3,12,30,0,0,-1.2000000000000002
2009,1,3,13,30,0,0,-2
2009,1,3,14,30,0,0,-1.7000000000000002
2009,1,3,15,30,44,1,-1.2000000000000002
2009,1,3,16,30,20,0,-0.6000000000000001
2009,1,3,17,30,43,0,0.30000000000000004
2009,1,3,18,30,138,0,0.9
2009,1,3,19,30,264,38,0.9
2009,1,3,20,30,22,0,0.30000000000000004
2009,1,3,21,30,16,0,-0.8
