Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,475419,-,-,-,39.93,-105.34,0,2294,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2010,1,1,0,30,0,0,-8.8
2010,1,1,1,30,0,0,-9.4
2010,1,1,2,30,0,0,-10
2010,1,1,3,30,0,0,-10.200000000000001
2010,1,1,4,30,0,0,-10.3
2010,1,1,5,30,0,0,-10.100000000000001
2010,1,1,6,30,0,0,-9.8
2010,1,1,7,30,0,0,-9.4
2010,1,1,8,30,0,0,-8.9
2010,1,1,9,30,0,0,-8.5
2010,1,1,10,30,0,0,-8.200000000000001
2010,1,1,11,30,0,0,-7.9
2010,1,1,12,30,0,0,-7.7
2010,1,1,13,30,0,0,-7.5
2010,1,1,14,30,0,0,-6.6000000000000005
2010,1,1,15,30,91,2,-4.4
2010,1,1,16,30,43,889,-1.7000000000000002
2010,1,1,17,30,50,948,0.4
2010,1,1,18,30,55,975,1.8
2010,1,1,19,30,57,975,2.5
2010,1,1,20,30,212,384,2.5
2010,1,1,21,30,215,17,1.4000000000000001
2010,1,1,22,30,50,0,-0.6000000000000001
2010,1,1,23,30,15,365,-2.6
2010,1,2,0,30,0,0,-3.8000000000000003
2010,1,2,1,30,0,0,-4.6000000000000005
2010,1,2,2,30,0,0,-4.9
2010,1,2,3,30,0,0,-4.9
2010,1,2,4,30,0,0,-4.9
2010,1,2,5,30,0,0,-4.9
2010,1,2,6,30,0,0,-4.9
2010,1,2,7,30,0,0,-5
2010,1,2,8,30,0,0,-5
2010,1,2,9,30,0,0,-4.9
2010,1,2,10,30,0,0,-4.7
2010,1,2,11,30,0,0,-4.5
2010,1,2,12,30,0,0,-4.6000000000000005
2010,1,2,13,30,0,0,-4.9
2010,1,2,14,30,0,0,-4.4
2010,1,2,15,30,36,712,-2.6
2010,1,2,16,30,50,871,-0.6000000000000001
2010,1,2,17,30,58,940,0.8
2010,1,2,18,30,197,532,1.1
2010,1,2,19,30,291,249,0.6000000000000001
2010,1,2,20,30,62,949,0.1
2010,1,2,21,30,117,0,-0.5
2010,1,2,22,30,38,766,-2.1
2010,1,2,23,30,15,408,-4
2010,1,3,0,30,0,0,-4.9
2010,1,3,1,30,0,0,-5.4
