Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,469359,-,-,-,40.01,-105.58,0,3018,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2010,1,1,0,30,0,0,-13.100000000000001
2010,1,1,1,30,0,0,-13.5
2010,1,1,2,30,0,0,-13.8
2010,1,1,3,30,0,0,-13.8
2010,1,1,4,30,0,0,-13.8
2010,1,1,5,30,0,0,-13.700000000000001
2010,1,1,6,30,0,0,-13.5
2010,1,1,7,30,0,0,-13.200000000000001
2010,1,1,8,30,0,0,-12.9
2010,1,1,9,30,0,0,-12.4
2010,1,1,10,30,0,0,-11.9
2010,1,1,11,30,0,0,-11.5
2010,1,1,12,30,0,0,-11.200000000000001
2010,1,1,13,30,0,0,-11
2010,1,1,14,30,0,0,-10.200000000000001
2010,1,1,15,30,10,0,-8.4
2010,1,1,16,30,21,0,-6.2
2010,1,1,17,30,32,0,-4.3
2010,1,1,18,30,70,0,-3
2010,1,1,19,30,137,1,-2.3000000000000003
2010,1,1,20,30,139,0,-2.2
2010,1,1,21,30,102,0,-2.9000000000000004
2010,1,1,22,30,113,4,-4.5
2010,1,1,23,30,15,0,-6.1000000000000005
2010,1,2,0,30,0,0,-7.2
2010,1,2,1,30,0,0,-8
2010,1,2,2,30,0,0,-8.3
2010,1,2,3,30,0,0,-8.5
2010,1,2,4,30,0,0,-8.6
2010,1,2,5,30,0,0,-8.700000000000001
2010,1,2,6,30,0,0,-8.700000000000001
2010,1,2,7,30,0,0,-8.700000000000001
2010,1,2,8,30,0,0,-8.700000000000001
2010,1,2,9,30,0,0,-8.6
2010,1,2,10,30,0,0,-8.3
2010,1,2,11,30,0,0,-7.9
2010,1,2,12,30,0,0,-7.800000000000001
2010,1,2,13,30,0,0,-8.200000000000001
2010,1,2,14,30,0,0,-7.9
2010,1,2,15,30,7,0,-6.300000000000001
2010,1,2,16,30,17,0,-4.4
2010,1,2,17,30,13,0,-3.3000000000000003
2010,1,2,18,30,43,0,-3.4000000000000004
2010,1,2,19,30,162,1,-4.1000000000000005
2010,1,2,20,30,256,34,-4.4
2010,1,2,21,30,71,0,-4.7
2010,1,2,22,30,13,0,-6.1000000000000005
2010,1,2,23,30,14,0,-7.800000000000001
2010,1,3,0,30,0,0,-8.8
2010,1,3,1,30,0,0,-9.4
2010,1,3,2,30,0,0,-9.9
2010,1,3,3,30,0,0,-10.3
2010,1,3,4,30,0,0,-10.8
2010,1,3,5,30,0,0,-11.200000000000001
2010,1,3,6,30,0,0,-11.4
2010,1,3,7,30,0,0,-11.4
2010,1,3,8,30,0,0,-11.4
2010,1,3,9,30,0,0,-11.3
2010,1,3,10,30,0,0,-11.200000000000001
2010,1,3,11,30,0,0,-11.3
2010,1,3,12,30,0,0,-12.200000000000001
2010,1,3,13,30,0,0,-13.5
2010,1,3,14,30,0,0,-12.9
2010,1,3,15,30,10,0,-10.100000000000001
2010,1,3,16,30,54,878,-7.6000000000000005
2010,1,3,17,30,301,38,-6.5
2010,1,3,18,30,238,1,-6.2
2010,1,3,19,30,298,266,-6.1000000000000005
2010,1,3,20,30,327,51,-6.300000000000001
2010,1,3,21,30,208,8,-6.9
2010,1,3,22,30,41,787,-8.5
2010,1,3,23,30,17,428,-10.8
2010,1,4,0,30,0,0,-12.600000000000001
2010,1,4,1,30,0,0,-13.8
2010,1,4,2,30,0,0,-15.100000000000001
2010,1,4,3,30,0,0,-16.2
2010,1,4,4,30,0,0,-16.900000000000002
2010,1,4,5,30,0,0,-16.8
2010,1,4,6,30,0,0,-16.2
2010,1,4,7,30,0,0,-15.3
2010,1,4,8,30,0,0,-14.5
2010,1,4,9,30,0,0,-14.3
2010,1,4,10,30,0,0,-14.3
2010,1,4,11,30,0,0,-14.4
2010,1,4,12,30,0,0,-14.4
2010,1,4,13,30,0,0,-14.5
2010,1,4,14,30,0,0,-13.8
2010,1,4,15,30,17,0,-11.600000000000001
2010,1,4,16,30,41,932,-8.8
2010,1,4,17,30,49,982,-6.6000000000000005
2010,1,4,18,30,56,1005,-5.5
2010,1,4,19,30,250,420,-4.9
2010,1,4,20,30,53,989,-4.9
2010,1,4,21,30,49,928,-5.5
2010,1,4,22,30,37,802,-6.9
2010,1,4,23,30,16,446,-8.6
2010,1,5,0,30,0,0,-9.8
2010,1,5,1,30,0,0,-10.5
2010,1,5,2,30,0,0,-11
2010,1,5,3,30,0,0,-11.200000000000001
2010,1,5,4,30,0,0,-11.200000000000001
2010,1,5,5,30,0,0,-11.100000000000001
2010,1,5,6,30,0,0,-10.9
2010,1,5,7,30,0,0,-10.700000000000001
2010,1,5,8,30,0,0,-10.600000000000001
2010,1,5,9,30,0,0,-10.4
2010,1,5,10,30,0,0,-10.4
2010,1,5,11,30,0,0,-10.5
2010,1,5,12,30,0,0,-10.5
2010,1,5,13,30,0,0,-10.3
2010,1,5,14,30,0,0,-9.4
2010,1,5,15,30,60,0,-7.5
2010,1,5,16,30,218,60,-5.2
2010,1,5,17,30,235,3,-3.5
2010,1,5,18,30,215,0,-2.6
2010,1,5,19,30,88,0,-2.4000000000000004
2010,1,5,20,30,97,0,-2.7
2010,1,5,21,30,74,0,-3.4000000000000004
2010,1,5,22,30,84,0,-4.1000000000000005
2010,1,5,23,30,23,1,-4.6000000000000005
2010,1,6,0,30,0,0,-4.9
2010,1,6,1,30,0,0,-5.4
2010,1,6,2,30,0,0,-6
2010,1,6,3,30,0,0,-6.5
2010,1,6,4,30,0,0,-6.7
2010,1,6,5,30,0,0,-6.800000000000001
2010,1,6,6,30,0,0,-7
2010,1,6,7,30,0,0,-7.2
2010,1,6,8,30,0,0,-7.300000000000001
2010,1,6,9,30,0,0,-7.300000000000001
2010,1,6,10,30,0,0,-7.300000000000001
2010,1,6,11,30,0,0,-7.300000000000001
2010,1,6,12,30,0,0,-7.7
2010,1,6,13,30,0,0,-8
2010,1,6,14,30,0,0,-7.7
2010,1,6,15,30,10,0,-6.9
2010,1,6,16,30,20,0,-5.9
2010,1,6,17,30,29,0,-5
2010,1,6,18,30,34,0,-4.5
2010,1,6,19,30,104,0,-4.7
2010,1,6,20,30,76,0,-5.2
2010,1,6,21,30,43,0,-6
2010,1,6,22,30,63,1,-7.4
2010,1,6,23,30,16,0,-9
2010,1,7,0,30,0,0,-10.700000000000001
2010,1,7,1,30,0,0,-12.600000000000001
2010,1,7,2,30,0,0,-14.600000000000001
2010,1,7,3,30,0,0,-15.9
2010,1,7,4,30,0,0,-17.1
2010,1,7,5,30,0,0,-18.3
2010,1,7,6,30,0,0,-19.5
2010,1,7,7,30,0,0,-20.900000000000002
2010,1,7,8,30,0,0,-22
2010,1,7,9,30,0,0,-22.8
2010,1,7,10,30,0,0,-23.200000000000003
2010,1,7,11,30,0,0,-23.8
2010,1,7,12,30,0,0,-24.6
2010,1,7,13,30,0,0,-25.200000000000003
2010,1,7,14,30,0,0,-23.700000000000003
2010,1,7,15,30,113,59,-19.6
2010,1,7,16,30,42,972,-15.700000000000001
2010,1,7,17,30,234,27,-13.4
2010,1,7,18,30,53,1063,-12.100000000000001
2010,1,7,19,30,54,1066,-11.4
2010,1,7,20,30,50,1049,-11.4
2010,1,7,21,30,46,994,-12.100000000000001
2010,1,7,22,30,35,882,-13.8
2010,1,7,23,30,16,559,-16.400000000000002
2010,1,8,0,30,0,0,-19.6
2010,1,8,1,30,0,0,-22.1
2010,1,8,2,30,0,0,-23.3
2010,1,8,3,30,0,0,-24.1
2010,1,8,4,30,0,0,-24.6
2010,1,8,5,30,0,0,-25
2010,1,8,6,30,0,0,-25.200000000000003
2010,1,8,7,30,0,0,-25.200000000000003
2010,1,8,8,30,0,0,-24.900000000000002
2010,1,8,9,30,0,0,-24
2010,1,8,10,30,0,0,-22.5
2010,1,8,11,30,0,0,-21
2010,1,8,12,30,0,0,-20.400000000000002
