Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,470363,-,-,-,39.97,-105.54,0,2636,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2011,1,1,0,30,0,0,-21.6
2011,1,1,1,30,0,0,-22
2011,1,1,2,30,0,0,-22.1
2011,1,1,3,30,0,0,-21.900000000000002
2011,1,1,4,30,0,0,-21.6
2011,1,1,5,30,0,0,-21.5
2011,1,1,6,30,0,0,-21.400000000000002
2011,1,1,7,30,0,0,-21.1
2011,1,1,8,30,0,0,-20.8
2011,1,1,9,30,0,0,-20.5
2011,1,1,10,30,0,0,-20.3
2011,1,1,11,30,0,0,-20.200000000000003
2011,1,1,12,30,0,0,-20.1
2011,1,1,13,30,0,0,-19.900000000000002
2011,1,1,14,30,0,0,-19.5
2011,1,1,15,30,101,168,-18.6
2011,1,1,16,30,197,207,-17.5
2011,1,1,17,30,212,13,-16.6
2011,1,1,18,30,326,100,-15.9
2011,1,1,19,30,340,167,-15.4
2011,1,1,20,30,296,61,-15.3
2011,1,1,21,30,230,100,-15.4
2011,1,1,22,30,39,834,-15.8
2011,1,1,23,30,15,458,-16.3
2011,1,2,0,30,0,0,-16.5
2011,1,2,1,30,0,0,-16.5
2011,1,2,2,30,0,0,-16.6
2011,1,2,3,30,0,0,-16.8
2011,1,2,4,30,0,0,-17.1
2011,1,2,5,30,0,0,-17.3
2011,1,2,6,30,0,0,-17.3
2011,1,2,7,30,0,0,-17
2011,1,2,8,30,0,0,-16.400000000000002
2011,1,2,9,30,0,0,-15.8
2011,1,2,10,30,0,0,-15.200000000000001
2011,1,2,11,30,0,0,-14.8
2011,1,2,12,30,0,0,-14.600000000000001
2011,1,2,13,30,0,0,-14.3
2011,1,2,14,30,0,0,-13.600000000000001
2011,1,2,15,30,74,4,-12
2011,1,2,16,30,179,246,-10
2011,1,2,17,30,201,467,-8.3
2011,1,2,18,30,303,318,-7.1000000000000005
2011,1,2,19,30,55,1033,-6.5
2011,1,2,20,30,52,1012,-6.300000000000001
2011,1,2,21,30,89,0,-6.6000000000000005
2011,1,2,22,30,13,0,-7.7
2011,1,2,23,30,17,0,-8.8
2011,1,3,0,30,0,0,-9.4
2011,1,3,1,30,0,0,-9.700000000000001
2011,1,3,2,30,0,0,-10
2011,1,3,3,30,0,0,-10.200000000000001
2011,1,3,4,30,0,0,-10.4
2011,1,3,5,30,0,0,-10.3
2011,1,3,6,30,0,0,-10.100000000000001
2011,1,3,7,30,0,0,-9.9
2011,1,3,8,30,0,0,-9.9
2011,1,3,9,30,0,0,-9.9
2011,1,3,10,30,0,0,-10
2011,1,3,11,30,0,0,-10.200000000000001
2011,1,3,12,30,0,0,-10.4
2011,1,3,13,30,0,0,-10.700000000000001
2011,1,3,14,30,0,0,-10.200000000000001
2011,1,3,15,30,108,11,-8.6
2011,1,3,16,30,221,102,-6.9
2011,1,3,17,30,297,153,-5.5
2011,1,3,18,30,55,1017,-4.6000000000000005
2011,1,3,19,30,57,1018,-4.2
2011,1,3,20,30,55,996,-4.2
2011,1,3,21,30,49,939,-4.7
2011,1,3,22,30,38,811,-5.9
2011,1,3,23,30,16,441,-7.5
2011,1,4,0,30,0,0,-8.9
2011,1,4,1,30,0,0,-9.9
2011,1,4,2,30,0,0,-10.600000000000001
2011,1,4,3,30,0,0,-11.100000000000001
2011,1,4,4,30,0,0,-11.5
2011,1,4,5,30,0,0,-11.700000000000001
2011,1,4,6,30,0,0,-11.8
2011,1,4,7,30,0,0,-11.9
2011,1,4,8,30,0,0,-12.100000000000001
2011,1,4,9,30,0,0,-12.100000000000001
2011,1,4,10,30,0,0,-12.100000000000001
2011,1,4,11,30,0,0,-12.100000000000001
2011,1,4,12,30,0,0,-12
2011,1,4,13,30,0,0,-11.9
2011,1,4,14,30,0,0,-11.200000000000001
2011,1,4,15,30,32,793,-9.200000000000001
2011,1,4,16,30,45,940,-6.800000000000001
2011,1,4,17,30,54,1004,-5.1000000000000005
2011,1,4,18,30,59,1014,-4.5
2011,1,4,19,30,60,1015,-4.6000000000000005
2011,1,4,20,30,56,996,-5
2011,1,4,21,30,51,934,-5.6000000000000005
2011,1,4,22,30,128,88,-6.6000000000000005
2011,1,4,23,30,15,0,-7.5
2011,1,5,0,30,0,0,-8.1
2011,1,5,1,30,0,0,-8.4
2011,1,5,2,30,0,0,-8.700000000000001
2011,1,5,3,30,0,0,-9
2011,1,5,4,30,0,0,-9.200000000000001
2011,1,5,5,30,0,0,-9.5
2011,1,5,6,30,0,0,-9.700000000000001
2011,1,5,7,30,0,0,-10.200000000000001
2011,1,5,8,30,0,0,-10.5
2011,1,5,9,30,0,0,-10.600000000000001
2011,1,5,10,30,0,0,-10.4
2011,1,5,11,30,0,0,-10.3
2011,1,5,12,30,0,0,-10.100000000000001
2011,1,5,13,30,0,0,-9.9
2011,1,5,14,30,0,0,-9.3
2011,1,5,15,30,98,192,-8.200000000000001
2011,1,5,16,30,190,209,-6.800000000000001
2011,1,5,17,30,216,1,-5.5
2011,1,5,18,30,226,10,-4.800000000000001
2011,1,5,19,30,310,11,-4.7
2011,1,5,20,30,287,179,-4.7
2011,1,5,21,30,242,109,-4.800000000000001
2011,1,5,22,30,41,786,-5.4
2011,1,5,23,30,18,449,-6.1000000000000005
2011,1,6,0,30,0,0,-6.6000000000000005
2011,1,6,1,30,0,0,-7
2011,1,6,2,30,0,0,-7.5
2011,1,6,3,30,0,0,-7.9
2011,1,6,4,30,0,0,-8.200000000000001
2011,1,6,5,30,0,0,-8.5
2011,1,6,6,30,0,0,-8.6
2011,1,6,7,30,0,0,-8.6
2011,1,6,8,30,0,0,-8.3
2011,1,6,9,30,0,0,-7.9
2011,1,6,10,30,0,0,-7.5
2011,1,6,11,30,0,0,-7.1000000000000005
2011,1,6,12,30,0,0,-6.800000000000001
2011,1,6,13,30,0,0,-6.7
2011,1,6,14,30,0,0,-6.2
2011,1,6,15,30,86,1,-5
2011,1,6,16,30,134,456,-3.4000000000000004
2011,1,6,17,30,221,397,-2.2
2011,1,6,18,30,185,599,-1.3
2011,1,6,19,30,183,607,-0.7000000000000001
2011,1,6,20,30,319,125,-0.6000000000000001
2011,1,6,21,30,196,257,-0.9
2011,1,6,22,30,134,15,-1.8
2011,1,6,23,30,16,475,-2.9000000000000004
2011,1,7,0,30,0,0,-3.4000000000000004
2011,1,7,1,30,0,0,-3.5
2011,1,7,2,30,0,0,-3.5
2011,1,7,3,30,0,0,-3.6
2011,1,7,4,30,0,0,-3.7
2011,1,7,5,30,0,0,-3.9000000000000004
2011,1,7,6,30,0,0,-4
2011,1,7,7,30,0,0,-4.1000000000000005
2011,1,7,8,30,0,0,-4.2
2011,1,7,9,30,0,0,-4.4
2011,1,7,10,30,0,0,-4.5
2011,1,7,11,30,0,0,-4.6000000000000005
2011,1,7,12,30,0,0,-4.7
2011,1,7,13,30,0,0,-4.800000000000001
2011,1,7,14,30,0,0,-4.2
2011,1,7,15,30,99,7,-2.7
2011,1,7,16,30,45,887,-0.8
2011,1,7,17,30,53,960,0.8
2011,1,7,18,30,57,989,1.7000000000000002
2011,1,7,19,30,57,992,2.1
2011,1,7,20,30,218,1,2
2011,1,7,21,30,104,0,1.3
2011,1,7,22,30,38,792,-0.4
2011,1,7,23,30,18,455,-3
2011,1,8,0,30,0,0,-4.800000000000001
2011,1,8,1,30,0,0,-5.1000000000000005
2011,1,8,2,30,0,0,-5
2011,1,8,3,30,0,0,-5.1000000000000005
2011,1,8,4,30,0,0,-5.2
2011,1,8,5,30,0,0,-5.2
2011,1,8,6,30,0,0,-5.1000000000000005
2011,1,8,7,30,0,0,-5
2011,1,8,8,30,0,0,-4.800000000000001
2011,1,8,9,30,0,0,-4.6000000000000005
2011,1,8,10,30,0,0,-4.6000000000000005
2011,1,8,11,30,0,0,-4.5
2011,1,8,12,30,0,0,-4.5
2011,1,8,13,30,0,0,-4.4
2011,1,8,14,30,0,0,-3.6
2011,1,8,15,30,94,18,-1.7000000000000002
2011,1,8,16,30,162,296,0.6000000000000001
2011,1,8,17,30,195,427,2.2
2011,1,8,18,30,294,175,2.9000000000000004
2011,1,8,19,30,189,8,3
2011,1,8,20,30,124,1,2.6
2011,1,8,21,30,76,1,1.6
2011,1,8,22,30,56,0,0.4
2011,1,8,23,30,16,0,-0.6000000000000001
2011,1,9,0,30,0,0,-1.4000000000000001
2011,1,9,1,30,0,0,-1.8
2011,1,9,2,30,0,0,-2.1
2011,1,9,3,30,0,0,-2.3000000000000003
2011,1,9,4,30,0,0,-2.6
2011,1,9,5,30,0,0,-3.1
2011,1,9,6,30,0,0,-3.6
2011,1,9,7,30,0,0,-4
2011,1,9,8,30,0,0,-4.4
2011,1,9,9,30,0,0,-4.9
2011,1,9,10,30,0,0,-5.6000000000000005
2011,1,9,11,30,0,0,-6.800000000000001
2011,1,9,12,30,0,0,-8.3
2011,1,9,13,30,0,0,-9.600000000000001
2011,1,9,14,30,0,0,-9.3
2011,1,9,15,30,85,7,-7.4
2011,1,9,16,30,13,0,-5.5
2011,1,9,17,30,131,1,-4.7
2011,1,9,18,30,94,0,-4.7
2011,1,9,19,30,325,65,-5.300000000000001
2011,1,9,20,30,231,12,-6.1000000000000005
2011,1,9,21,30,239,178,-7
2011,1,9,22,30,34,0,-8
2011,1,9,23,30,28,1,-9.200000000000001
2011,1,10,0,30,0,0,-10.5
2011,1,10,1,30,0,0,-12
2011,1,10,2,30,0,0,-13.100000000000001
2011,1,10,3,30,0,0,-13.700000000000001
2011,1,10,4,30,0,0,-14.4
2011,1,10,5,30,0,0,-15
2011,1,10,6,30,0,0,-15.4
2011,1,10,7,30,0,0,-15.5
2011,1,10,8,30,0,0,-15.9
2011,1,10,9,30,0,0,-16.6
2011,1,10,10,30,0,0,-17.3
2011,1,10,11,30,0,0,-18.1
2011,1,10,12,30,0,0,-18.8
2011,1,10,13,30,0,0,-19.200000000000003
2011,1,10,14,30,0,0,-19.200000000000003
2011,1,10,15,30,115,68,-17.900000000000002
2011,1,10,16,30,59,911,-15.8
2011,1,10,17,30,69,988,-14.3
2011,1,10,18,30,299,364,-13.600000000000001
2011,1,10,19,30,330,281,-13.4
2011,1,10,20,30,321,183,-13.600000000000001
2011,1,10,21,30,250,70,-14
2011,1,10,22,30,9,0,-14.700000000000001
2011,1,10,23,30,27,0,-15.9
2011,1,11,0,30,0,0,-17
2011,1,11,1,30,0,0,-17.900000000000002
2011,1,11,2,30,0,0,-18.5
2011,1,11,3,30,0,0,-18.8
2011,1,11,4,30,0,0,-19
2011,1,11,5,30,0,0,-19
2011,1,11,6,30,0,0,-19.1
2011,1,11,7,30,0,0,-19
2011,1,11,8,30,0,0,-18.900000000000002
2011,1,11,9,30,0,0,-18.900000000000002
2011,1,11,10,30,0,0,-19
2011,1,11,11,30,0,0,-19
2011,1,11,12,30,0,0,-19.200000000000003
2011,1,11,13,30,0,0,-19.3
2011,1,11,14,30,0,0,-18.6
2011,1,11,15,30,116,68,-16.7
2011,1,11,16,30,44,972,-14.700000000000001
2011,1,11,17,30,51,1036,-13.100000000000001
2011,1,11,18,30,58,1060,-12.100000000000001
2011,1,11,19,30,57,1066,-11.4
2011,1,11,20,30,55,1047,-11.100000000000001
2011,1,11,21,30,51,992,-11.3
2011,1,11,22,30,40,857,-12.5
2011,1,11,23,30,36,6,-14.100000000000001
2011,1,12,0,30,0,0,-15.4
2011,1,12,1,30,0,0,-16.3
2011,1,12,2,30,0,0,-17
2011,1,12,3,30,0,0,-17.3
2011,1,12,4,30,0,0,-17.3
2011,1,12,5,30,0,0,-17.1
2011,1,12,6,30,0,0,-16.900000000000002
2011,1,12,7,30,0,0,-16.8
2011,1,12,8,30,0,0,-16.7
2011,1,12,9,30,0,0,-16.400000000000002
2011,1,12,10,30,0,0,-15.9
2011,1,12,11,30,0,0,-15.5
2011,1,12,12,30,0,0,-15.100000000000001
2011,1,12,13,30,0,0,-14.5
2011,1,12,14,30,0,0,-13
2011,1,12,15,30,81,387,-10.3
2011,1,12,16,30,45,905,-7.2
2011,1,12,17,30,181,537,-4.5
2011,1,12,18,30,57,998,-2.9000000000000004
2011,1,12,19,30,58,1002,-2.2
2011,1,12,20,30,55,983,-2.2
2011,1,12,21,30,218,77,-2.9000000000000004
2011,1,12,22,30,107,8,-4.3
2011,1,12,23,30,36,4,-5.800000000000001
2011,1,13,0,30,0,0,-6.6000000000000005
2011,1,13,1,30,0,0,-6.9
2011,1,13,2,30,0,0,-6.800000000000001
2011,1,13,3,30,0,0,-6.4
2011,1,13,4,30,0,0,-6.2
2011,1,13,5,30,0,0,-6.1000000000000005
2011,1,13,6,30,0,0,-6
2011,1,13,7,30,0,0,-5.9
2011,1,13,8,30,0,0,-5.9
2011,1,13,9,30,0,0,-5.800000000000001
2011,1,13,10,30,0,0,-5.6000000000000005
2011,1,13,11,30,0,0,-5.300000000000001
2011,1,13,12,30,0,0,-4.9
2011,1,13,13,30,0,0,-4.800000000000001
2011,1,13,14,30,0,0,-4.4
2011,1,13,15,30,105,8,-3.4000000000000004
2011,1,13,16,30,221,82,-1.7000000000000002
2011,1,13,17,30,127,0,-0.2
2011,1,13,18,30,59,992,0.6000000000000001
2011,1,13,19,30,176,631,1.1
2011,1,13,20,30,332,121,1.1
2011,1,13,21,30,260,64,0.5
2011,1,13,22,30,40,813,-1.1
2011,1,13,23,30,36,1,-2.8000000000000003
2011,1,14,0,30,0,0,-3.7
2011,1,14,1,30,0,0,-3.8000000000000003
2011,1,14,2,30,0,0,-3.5
2011,1,14,3,30,0,0,-3.1
2011,1,14,4,30,0,0,-2.8000000000000003
2011,1,14,5,30,0,0,-2.7
2011,1,14,6,30,0,0,-2.7
2011,1,14,7,30,0,0,-2.7
2011,1,14,8,30,0,0,-2.9000000000000004
2011,1,14,9,30,0,0,-3.3000000000000003
2011,1,14,10,30,0,0,-3.8000000000000003
2011,1,14,11,30,0,0,-4.2
2011,1,14,12,30,0,0,-4.6000000000000005
2011,1,14,13,30,0,0,-5
2011,1,14,14,30,0,0,-4.6000000000000005
2011,1,14,15,30,33,758,-3.1
2011,1,14,16,30,47,907,-1.5
2011,1,14,17,30,55,971,-0.2
2011,1,14,18,30,60,999,0.6000000000000001
2011,1,14,19,30,64,1008,0.9
2011,1,14,20,30,61,989,0.8
2011,1,14,21,30,54,939,0
2011,1,14,22,30,43,825,-1.8
2011,1,14,23,30,35,0,-3.6
2011,1,15,0,30,0,0,-4.3
2011,1,15,1,30,0,0,-4.6000000000000005
2011,1,15,2,30,0,0,-4.7
2011,1,15,3,30,0,0,-4.7
2011,1,15,4,30,0,0,-4.6000000000000005
2011,1,15,5,30,0,0,-4.6000000000000005
2011,1,15,6,30,0,0,-4.7
2011,1,15,7,30,0,0,-4.7
2011,1,15,8,30,0,0,-4.6000000000000005
2011,1,15,9,30,0,0,-4.3
2011,1,15,10,30,0,0,-4.3
2011,1,15,11,30,0,0,-4.7
2011,1,15,12,30,0,0,-4.9
2011,1,15,13,30,0,0,-5
2011,1,15,14,30,0,0,-4.6000000000000005
2011,1,15,15,30,103,73,-3
2011,1,15,16,30,165,339,-1
2011,1,15,17,30,245,366,0.6000000000000001
2011,1,15,18,30,322,185,1.4000000000000001
2011,1,15,19,30,328,76,1.5
2011,1,15,20,30,231,412,0.9
2011,1,15,21,30,237,55,-0.30000000000000004
2011,1,15,22,30,154,16,-1.7000000000000002
2011,1,15,23,30,43,9,-2.5
2011,1,16,0,30,0,0,-3.1
2011,1,16,1,30,0,0,-4
2011,1,16,2,30,0,0,-4.800000000000001
2011,1,16,3,30,0,0,-5.1000000000000005
2011,1,16,4,30,0,0,-5.1000000000000005
2011,1,16,5,30,0,0,-5
2011,1,16,6,30,0,0,-5.2
2011,1,16,7,30,0,0,-5.6000000000000005
2011,1,16,8,30,0,0,-6
2011,1,16,9,30,0,0,-6.300000000000001
2011,1,16,10,30,0,0,-6.300000000000001
2011,1,16,11,30,0,0,-6
2011,1,16,12,30,0,0,-5.6000000000000005
2011,1,16,13,30,0,0,-5.6000000000000005
2011,1,16,14,30,0,0,-4.9
2011,1,16,15,30,103,193,-3.2
2011,1,16,16,30,188,250,-1.5
2011,1,16,17,30,284,126,-0.30000000000000004
2011,1,16,18,30,320,130,0.5
2011,1,16,19,30,324,180,1.1
2011,1,16,20,30,281,242,1.5
2011,1,16,21,30,221,11,1.4000000000000001
2011,1,16,22,30,158,22,0.8
2011,1,16,23,30,23,517,0
2011,1,17,0,30,0,0,-0.4
2011,1,17,1,30,0,0,-0.5
2011,1,17,2,30,0,0,-0.5
2011,1,17,3,30,0,0,-0.30000000000000004
2011,1,17,4,30,0,0,0
2011,1,17,5,30,0,0,0.1
2011,1,17,6,30,0,0,0
2011,1,17,7,30,0,0,-0.2
2011,1,17,8,30,0,0,-0.2
2011,1,17,9,30,0,0,-0.1
2011,1,17,10,30,0,0,0
2011,1,17,11,30,0,0,0
2011,1,17,12,30,0,0,-0.2
2011,1,17,13,30,0,0,0.1
2011,1,17,14,30,0,0,1
2011,1,17,15,30,9,0,2.4000000000000004
2011,1,17,16,30,87,1,3.3000000000000003
2011,1,17,17,30,192,10,3.4000000000000004
2011,1,17,18,30,15,0,3.1
2011,1,17,19,30,194,6,2.7
2011,1,17,20,30,13,0,2.3000000000000003
2011,1,17,21,30,175,15,1.8
2011,1,17,22,30,130,4,0.8
2011,1,17,23,30,31,1,-0.5
2011,1,18,0,30,0,0,-1.5
2011,1,18,1,30,0,0,-1.9000000000000001
2011,1,18,2,30,0,0,-2.3000000000000003
2011,1,18,3,30,0,0,-2.8000000000000003
2011,1,18,4,30,0,0,-3.3000000000000003
2011,1,18,5,30,0,0,-3.7
2011,1,18,6,30,0,0,-4
2011,1,18,7,30,0,0,-4.2
2011,1,18,8,30,0,0,-4.4
2011,1,18,9,30,0,0,-4.7
2011,1,18,10,30,0,0,-5.1000000000000005
2011,1,18,11,30,0,0,-5.5
2011,1,18,12,30,0,0,-5.800000000000001
2011,1,18,13,30,0,0,-5.800000000000001
2011,1,18,14,30,5,0,-4.9
2011,1,18,15,30,105,34,-3.3000000000000003
2011,1,18,16,30,49,919,-1.9000000000000001
2011,1,18,17,30,56,986,-1
2011,1,18,18,30,60,1014,-0.4
2011,1,18,19,30,388,153,-0.2
2011,1,18,20,30,238,440,-0.2
2011,1,18,21,30,258,123,-0.6000000000000001
2011,1,18,22,30,160,85,-1.8
2011,1,18,23,30,25,0,-3.1
2011,1,19,0,30,0,0,-3.7
2011,1,19,1,30,0,0,-3.9000000000000004
2011,1,19,2,30,0,0,-4.4
2011,1,19,3,30,0,0,-4.9
2011,1,19,4,30,0,0,-5.300000000000001
2011,1,19,5,30,0,0,-5.7
2011,1,19,6,30,0,0,-6.1000000000000005
2011,1,19,7,30,0,0,-6.4
2011,1,19,8,30,0,0,-6.5
2011,1,19,9,30,0,0,-6.6000000000000005
2011,1,19,10,30,0,0,-6.4
2011,1,19,11,30,0,0,-6
2011,1,19,12,30,0,0,-5.5
2011,1,19,13,30,0,0,-4.9
2011,1,19,14,30,5,0,-3.7
2011,1,19,15,30,8,0,-2.1
2011,1,19,16,30,58,0,-0.9
2011,1,19,17,30,196,7,-0.6000000000000001
2011,1,19,18,30,372,48,-1.1
2011,1,19,19,30,377,42,-2.1
2011,1,19,20,30,276,29,-3.2
2011,1,19,21,30,90,0,-4.4
2011,1,19,22,30,44,0,-5.7
2011,1,19,23,30,31,0,-7.4
2011,1,20,0,30,0,0,-8.9
2011,1,20,1,30,0,0,-9.9
2011,1,20,2,30,0,0,-10.600000000000001
2011,1,20,3,30,0,0,-11.3
2011,1,20,4,30,0,0,-12
2011,1,20,5,30,0,0,-13
2011,1,20,6,30,0,0,-14.4
2011,1,20,7,30,0,0,-16
2011,1,20,8,30,0,0,-17.1
2011,1,20,9,30,0,0,-17.400000000000002
2011,1,20,10,30,0,0,-16.900000000000002
2011,1,20,11,30,0,0,-16
2011,1,20,12,30,0,0,-15.5
2011,1,20,13,30,0,0,-15.3
2011,1,20,14,30,5,0,-14.4
2011,1,20,15,30,35,816,-12.4
2011,1,20,16,30,48,956,-10.200000000000001
2011,1,20,17,30,55,1020,-8.3
2011,1,20,18,30,56,1051,-7.2
2011,1,20,19,30,57,1040,-6.6000000000000005
2011,1,20,20,30,53,1026,-6.4
2011,1,20,21,30,49,980,-6.5
2011,1,20,22,30,127,366,-7.2
2011,1,20,23,30,35,1,-8.1
2011,1,21,0,30,0,0,-8.4
2011,1,21,1,30,0,0,-8.4
2011,1,21,2,30,0,0,-8.4
2011,1,21,3,30,0,0,-8.5
2011,1,21,4,30,0,0,-8.5
2011,1,21,5,30,0,0,-8.5
2011,1,21,6,30,0,0,-8.5
2011,1,21,7,30,0,0,-8.4
2011,1,21,8,30,0,0,-8.200000000000001
2011,1,21,9,30,0,0,-8.1
2011,1,21,10,30,0,0,-7.9
2011,1,21,11,30,0,0,-7.7
2011,1,21,12,30,0,0,-7.9
2011,1,21,13,30,0,0,-8
2011,1,21,14,30,7,0,-7.7
2011,1,21,15,30,22,0,-6.800000000000001
2011,1,21,16,30,26,0,-5.6000000000000005
2011,1,21,17,30,106,0,-4.6000000000000005
2011,1,21,18,30,332,4,-4
2011,1,21,19,30,380,21,-3.7
2011,1,21,20,30,388,80,-3.8000000000000003
2011,1,21,21,30,305,60,-4.3
2011,1,21,22,30,45,888,-5.4
2011,1,21,23,30,26,637,-6.7
2011,1,22,0,30,0,0,-7.7
2011,1,22,1,30,0,0,-8.3
2011,1,22,2,30,0,0,-8.6
2011,1,22,3,30,0,0,-8.5
2011,1,22,4,30,0,0,-8.1
2011,1,22,5,30,0,0,-7.7
2011,1,22,6,30,0,0,-7.2
2011,1,22,7,30,0,0,-6.6000000000000005
2011,1,22,8,30,0,0,-5.9
2011,1,22,9,30,0,0,-5.300000000000001
2011,1,22,10,30,0,0,-4.6000000000000005
2011,1,22,11,30,0,0,-4.1000000000000005
2011,1,22,12,30,0,0,-4.1000000000000005
2011,1,22,13,30,0,0,-4.4
2011,1,22,14,30,7,0,-4.1000000000000005
2011,1,22,15,30,63,1,-3.3000000000000003
2011,1,22,16,30,114,2,-3.2
2011,1,22,17,30,126,1,-3.4000000000000004
2011,1,22,18,30,159,1,-3.5
2011,1,22,19,30,25,0,-3.7
2011,1,22,20,30,76,0,-4
2011,1,22,21,30,49,0,-4.6000000000000005
2011,1,22,22,30,43,0,-5.5
2011,1,22,23,30,35,0,-6.800000000000001
2011,1,23,0,30,0,0,-7.7
2011,1,23,1,30,0,0,-8.1
2011,1,23,2,30,0,0,-8.5
2011,1,23,3,30,0,0,-9
2011,1,23,4,30,0,0,-9.5
2011,1,23,5,30,0,0,-10
2011,1,23,6,30,0,0,-10.600000000000001
2011,1,23,7,30,0,0,-11.5
2011,1,23,8,30,0,0,-12.5
2011,1,23,9,30,0,0,-13.3
2011,1,23,10,30,0,0,-13.600000000000001
2011,1,23,11,30,0,0,-13.8
2011,1,23,12,30,0,0,-13.700000000000001
2011,1,23,13,30,0,0,-13.100000000000001
2011,1,23,14,30,9,0,-11.700000000000001
2011,1,23,15,30,38,810,-9.200000000000001
2011,1,23,16,30,252,49,-7.1000000000000005
2011,1,23,17,30,269,360,-6
2011,1,23,18,30,101,0,-5.300000000000001
2011,1,23,19,30,294,12,-5
2011,1,23,20,30,199,3,-5.1000000000000005
2011,1,23,21,30,198,441,-5.4
2011,1,23,22,30,46,872,-5.800000000000001
2011,1,23,23,30,27,608,-6.6000000000000005
2011,1,24,0,30,0,0,-7.1000000000000005
2011,1,24,1,30,0,0,-7.5
2011,1,24,2,30,0,0,-7.9
2011,1,24,3,30,0,0,-8.4
2011,1,24,4,30,0,0,-8.9
2011,1,24,5,30,0,0,-9
2011,1,24,6,30,0,0,-8.8
2011,1,24,7,30,0,0,-8.8
2011,1,24,8,30,0,0,-9.200000000000001
2011,1,24,9,30,0,0,-9.3
2011,1,24,10,30,0,0,-9.3
2011,1,24,11,30,0,0,-9.4
2011,1,24,12,30,0,0,-9.8
2011,1,24,13,30,0,0,-10.200000000000001
2011,1,24,14,30,8,0,-9.8
2011,1,24,15,30,124,34,-8.200000000000001
2011,1,24,16,30,58,0,-6.9
2011,1,24,17,30,57,1017,-6.2
2011,1,24,18,30,410,154,-5.800000000000001
2011,1,24,19,30,60,1052,-5.800000000000001
2011,1,24,20,30,393,126,-6.1000000000000005
2011,1,24,21,30,288,196,-6.7
2011,1,24,22,30,45,896,-8.1
2011,1,24,23,30,27,662,-10.9
2011,1,25,0,30,0,0,-13.600000000000001
2011,1,25,1,30,0,0,-14.8
2011,1,25,2,30,0,0,-15.4
2011,1,25,3,30,0,0,-15.4
2011,1,25,4,30,0,0,-14.9
2011,1,25,5,30,0,0,-14.600000000000001
2011,1,25,6,30,0,0,-14.3
2011,1,25,7,30,0,0,-13.9
2011,1,25,8,30,0,0,-13.5
2011,1,25,9,30,0,0,-13
2011,1,25,10,30,0,0,-12.8
2011,1,25,11,30,0,0,-12.4
2011,1,25,12,30,0,0,-11.8
2011,1,25,13,30,0,0,-11.4
2011,1,25,14,30,13,0,-10.5
2011,1,25,15,30,17,0,-8.700000000000001
2011,1,25,16,30,86,0,-6.800000000000001
2011,1,25,17,30,123,0,-5.1000000000000005
2011,1,25,18,30,94,0,-4.1000000000000005
2011,1,25,19,30,135,0,-3.8000000000000003
2011,1,25,20,30,235,7,-3.9000000000000004
2011,1,25,21,30,153,3,-4.3
2011,1,25,22,30,175,130,-5.1000000000000005
2011,1,25,23,30,33,0,-6.1000000000000005
2011,1,26,0,30,0,0,-6.9
2011,1,26,1,30,0,0,-7.4
2011,1,26,2,30,0,0,-8.1
2011,1,26,3,30,0,0,-9.4
2011,1,26,4,30,0,0,-11.100000000000001
2011,1,26,5,30,0,0,-12.3
2011,1,26,6,30,0,0,-12.9
2011,1,26,7,30,0,0,-12.9
2011,1,26,8,30,0,0,-12.700000000000001
2011,1,26,9,30,0,0,-12.600000000000001
2011,1,26,10,30,0,0,-13
2011,1,26,11,30,0,0,-13.600000000000001
2011,1,26,12,30,0,0,-14.200000000000001
2011,1,26,13,30,0,0,-14.100000000000001
2011,1,26,14,30,11,0,-11.9
2011,1,26,15,30,129,13,-8
2011,1,26,16,30,46,953,-4.7
2011,1,26,17,30,53,1013,-2.8000000000000003
2011,1,26,18,30,418,158,-2
2011,1,26,19,30,67,1033,-1.7000000000000002
2011,1,26,20,30,72,1003,-1.9000000000000001
2011,1,26,21,30,65,957,-2.6
2011,1,26,22,30,51,865,-4
2011,1,26,23,30,30,640,-5.7
2011,1,27,0,30,0,0,-6.9
2011,1,27,1,30,0,0,-7.6000000000000005
2011,1,27,2,30,0,0,-7.7
