Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,471369,-,-,-,39.97,-105.5,0,2581,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature
2004,1,1,0,30,0,0,-4.800000000000001
2004,1,1,1,30,0,0,-5
2004,1,1,2,30,0,0,-4.7
2004,1,1,3,30,0,0,-4.5
2004,1,1,4,30,0,0,-4.5
2004,1,1,5,30,0,0,-4.7
2004,1,1,6,30,0,0,-4.800000000000001
2004,1,1,7,30,0,0,-5
2004,1,1,8,30,0,0,-5.2
2004,1,1,9,30,0,0,-5.4
2004,1,1,10,30,0,0,-5.4
2004,1,1,11,30,0,0,-5.5
2004,1,1,12,30,0,0,-5.7
2004,1,1,13,30,0,0,-5.9
2004,1,1,14,30,0,0,-5.1000000000000005
2004,1,1,15,30,97,27,-3
2004,1,1,16,30,38,920,-0.8
2004,1,1,17,30,43,974,0.7000000000000001
2004,1,1,18,30,48,998,1.4000000000000001
2004,1,1,19,30,49,989,1.6
2004,1,1,20,30,48,965,1.1
2004,1,1,21,30,40,904,-0.1
2004,1,1,22,30,83,18,-1.8
2004,1,1,23,30,10,0,-3.3000000000000003
2004,1,2,0,30,0,0,-3.5
2004,1,2,1,30,0,0,-3.1
2004,1,2,2,30,0,0,-2.7
2004,1,2,3,30,0,0,-2.6
2004,1,2,4,30,0,0,-2.4000000000000004
2004,1,2,5,30,0,0,-2.2
